organization,timestamp,open,high,low,close,volume
AMZN,20/05/2003,31.56,32.13,31.17,31.48,8066200
AMZN,19/05/2003,32.7,32.97,31.4,31.56,9763500
AMZN,16/05/2003,32.51,33.161,32.38,33.05,7644100
AMZN,15/05/2003,32.64,32.75,32.2,32.63,5192300
AMZN,14/05/2003,33.14,33.19,32.44,32.6,7993200
AMZN,13/05/2003,31.55,33.49,31.44,32.95,15844500
AMZN,12/05/2003,30.83,31.8,30.67,31.7,7246900
AMZN,09/05/2003,30.46,30.99,30.2,30.965,5981700
AMZN,08/05/2003,30.36,30.764,30.22,30.45,8513500
AMZN,07/05/2003,30.66,30.86,30.03,30.7,10351800
AMZN,06/05/2003,29.83,31.18,29.8,30.88,13962400
AMZN,05/05/2003,29.47,30.05,29.01,29.96,11136300
AMZN,02/05/2003,28.63,29.4599,28.55,29.43,9884400
AMZN,01/05/2003,28.68,28.7,28.15,28.66,7689200
AMZN,30/04/2003,28.6,29,28.38,28.69,9450000
AMZN,29/04/2003,28.91,29.04,28.61,28.89,10526400
AMZN,28/04/2003,28.64,29.19,28.6,29.11,15801000
AMZN,25/04/2003,28,29,27.82,28.97,39972400
AMZN,24/04/2003,25.4,25.629,24.77,25.12,17603300
AMZN,23/04/2003,26.4,26.55,25.36,25.43,8850100
AMZN,22/04/2003,25.09,25.69,24.82,25.58,6868600
AMZN,21/04/2003,25.03,26.17,24.9,25.25,7132300
AMZN,17/04/2003,24.47,25.01,24.35,24.99,6789900
AMZN,16/04/2003,25.3,25.5,24.13,24.38,9294500
AMZN,15/04/2003,24.89,25.43,24.82,25.13,6341400
AMZN,14/04/2003,24.8,25.15,24.5,25.05,10417100
AMZN,11/04/2003,25.85,26.24,25.42,25.75,6899000
AMZN,10/04/2003,25.43,25.94,24.78,25.67,9311200
AMZN,09/04/2003,26.351,26.37,24.84,25.06,11958900
AMZN,08/04/2003,26.79,26.8,26.45,26.52,5403600
AMZN,07/04/2003,27.21,27.56,26.75,26.82,7230400
AMZN,04/04/2003,26.71,26.83,25.95,26.22,6072800
AMZN,03/04/2003,26.51,27.09,26.02,26.65,7324400
AMZN,02/04/2003,25.98,26.48,25.846,26.38,6623000
AMZN,01/04/2003,25.55,25.59,25.06,25.54,9774000
AMZN,31/03/2003,26.57,26.74,25.96,26.03,9214800
AMZN,28/03/2003,27.59,27.95,27.1,27.18,6437000
AMZN,27/03/2003,27.59,28.04,27.45,27.77,10642100
AMZN,26/03/2003,26.88,27.87,26.71,27.76,7375700
AMZN,25/03/2003,26.25,27.09,26.21,26.9,7213200
AMZN,24/03/2003,27.08,27.27,26.2,26.23,10340500
AMZN,21/03/2003,27.71,27.95,27.04,27.93,10657700
AMZN,20/03/2003,26.31,27.63,26.13,27.45,9376200
AMZN,19/03/2003,26.33,26.69,26.17,26.54,8481000
AMZN,18/03/2003,26.46,26.84,26.1,26.78,8749800
AMZN,17/03/2003,24.47,26.84,24.4,26.55,15124900
AMZN,14/03/2003,24.54,24.9,24.2,24.71,8907800
AMZN,13/03/2003,23.68,24.59,23.13,24.42,11208900
AMZN,12/03/2003,22.51,23.38,22.49,23.36,5573100
AMZN,11/03/2003,22.75,22.92,22.52,22.78,4034100
AMZN,10/03/2003,22.6,22.96,22.55,22.88,4406000
AMZN,07/03/2003,22.32,23.04,22.26,22.97,5848400
AMZN,06/03/2003,22.32,22.85,22.12,22.69,5427400
AMZN,05/03/2003,22.08,22.62,22.02,22.42,5160400
AMZN,04/03/2003,21.7,22.35,21.36,22.27,5434300
AMZN,03/03/2003,22.15,22.61,21.74,21.81,4480300
AMZN,28/02/2003,21.57,22.02,21.43,22.01,4687100
AMZN,27/02/2003,21.66,21.77,20.25,21.62,5076300
AMZN,26/02/2003,21.63,21.98,21.62,21.64,4121300
AMZN,25/02/2003,21.5,22,21.4,21.88,5624000
AMZN,24/02/2003,21.64,22.18,21.64,21.78,6936600
AMZN,21/02/2003,21.35,21.83,21.04,21.78,7207800
AMZN,20/02/2003,21.19,21.5,21.09,21.36,4169800
AMZN,19/02/2003,21.15,21.25,21.02,21.19,5470800
AMZN,18/02/2003,20.15,21.41,20.15,21.39,7899900
AMZN,14/02/2003,19.99,20.23,19.71,20.06,6625300
AMZN,13/02/2003,20.95,21,19.61,20.06,11576800
AMZN,12/02/2003,20.79,21.2,20.66,21.03,5433900
AMZN,11/02/2003,21.56,21.6,20.69,20.78,6679000
AMZN,10/02/2003,21.4,21.41,20.57,21.4,8096500
AMZN,07/02/2003,22.1,22.11,21.2,21.44,6942900
AMZN,06/02/2003,22.16,22.48,21.93,22.09,4037700
AMZN,05/02/2003,22.18,22.5,22.03,22.17,5343100
AMZN,04/02/2003,21.94,22.14,21.57,22.05,4817600
AMZN,03/02/2003,21.94,22.44,21.82,22.16,5195500
AMZN,31/01/2003,21.64,22.27,21.56,21.85,6262500
AMZN,30/01/2003,22.2,22.4,21.74,21.82,5965700
AMZN,29/01/2003,21.91,21.97,21.23,21.62,7056900
AMZN,28/01/2003,21.91,21.97,21.23,21.62,7968400
AMZN,27/01/2003,21.68,22.37,21.64,21.78,8207000
AMZN,24/01/2003,22.59,23.29,21.9,22.11,21681800
AMZN,23/01/2003,21.54,22.04,21.15,21.79,10998000
AMZN,22/01/2003,20.77,21.7,20.75,21.17,6683600
AMZN,21/01/2003,21.25,21.61,20.36,21.08,6293100
AMZN,17/01/2003,21.46,21.71,21.23,21.4,5786200
AMZN,16/01/2003,21.69,22.1,21.45,21.8,7911600
AMZN,15/01/2003,22.59,22.61,21.94,22.27,6989400
AMZN,14/01/2003,21.85,22.76,21.66,22.74,7048800
AMZN,13/01/2003,21.33,22.1,21.25,22.04,7121300
AMZN,10/01/2003,20.96,21.67,20.81,21.32,7579300
AMZN,09/01/2003,21.08,21.7,20.9,21.45,6154800
AMZN,08/01/2003,21.44,21.6,20.82,21.02,6981500
AMZN,07/01/2003,20.83,21.75,20.6,21.55,9568200
AMZN,06/01/2003,20.4,21.17,20.3,20.7,7698100
AMZN,03/01/2003,19.59,20.53,19.41,20.52,8757000
AMZN,02/01/2003,19.19,19.68,18.55,19.57,6484000
AMZN,31/12/2002,19.25,19.56,18.83,18.89,5537000
AMZN,30/12/2002,18.85,19.4,18.74,19.25,8284700
AMZN,27/12/2002,19.97,20.1,18.43,18.86,21972800
AMZN,26/12/2002,21.59,21.6,20,20.3,14199300
AMZN,24/12/2002,22.18,22.28,21.88,21.88,2348600
AMZN,23/12/2002,21.78,22.47,21.78,22.24,4424500
AMZN,20/12/2002,21.79,22.01,21.61,21.8,4935300
AMZN,19/12/2002,21.63,22.2,21.53,21.69,5814400
AMZN,18/12/2002,22.25,22.26,21.98,22.1,3992800
AMZN,17/12/2002,22.33,22.56,22.32,22.46,3419500
AMZN,16/12/2002,22.23,22.53,22.04,22.51,4940700
AMZN,13/12/2002,21.95,22.35,21.87,22.18,3859200
AMZN,12/12/2002,22.47,22.62,21.81,22.24,5977500
AMZN,11/12/2002,21.67,22.38,21.62,22.12,6387300
AMZN,10/12/2002,21.96,21.99,21.24,21.86,7093700
AMZN,09/12/2002,22.23,22.35,21.6,21.68,7454700
AMZN,06/12/2002,21.7,22.69,21.51,22.61,9393500
AMZN,05/12/2002,23.66,23.68,22.2,22.58,10642600
AMZN,04/12/2002,23.48,23.8,22.96,23.39,7878900
AMZN,03/12/2002,23.83,23.98,23.38,23.74,5901100
AMZN,02/12/2002,24.15,25,24,24.11,11152500
AMZN,29/11/2002,24.15,24.38,23.33,23.35,2577300
AMZN,27/11/2002,23.72,24.24,23.71,24.08,5666000
AMZN,26/11/2002,24.02,24.21,23.38,23.4,6405800
AMZN,25/11/2002,24.03,24.5,23.82,24.25,10091100
